@RELATION RapidMinerData

@ATTRIBUTE 'MACD26biggerThanPrev' real
@ATTRIBUTE 'MACD26zeroUpCross' real
@ATTRIBUTE 'MACD26zeroDownCross' real
@ATTRIBUTE 'MACD26signalUpCross' real
@ATTRIBUTE 'MACD26signalDownCross' real
@ATTRIBUTE 'AroonUpCross' real
@ATTRIBUTE 'AroonDownCross' real
@ATTRIBUTE 'LowAboveEMA10' real
@ATTRIBUTE 'LowAboveEMA20' real
@ATTRIBUTE 'LowAboveSMA10' real
@ATTRIBUTE 'LowAboveSMA20' real
@ATTRIBUTE 'LowAboveSMA34' real
@ATTRIBUTE 'LowAboveSMA50' real
@ATTRIBUTE 'HighBelowEMA10' real
@ATTRIBUTE 'HighBelowEMA20' real
@ATTRIBUTE 'HighBelowSMA10' real
@ATTRIBUTE 'HighBelowSMA20' real
@ATTRIBUTE 'HighBelowSMA34' real
@ATTRIBUTE 'HighBelowSMA50' real
@ATTRIBUTE 'CCI10ZeroUpCross' real
@ATTRIBUTE 'CCI10HundredUpCross' real
@ATTRIBUTE 'CCI10ZeroDownCross' real
@ATTRIBUTE 'CCI10HundredDownCross' real
@ATTRIBUTE 'CCI14ZeroUpCross' real
@ATTRIBUTE 'CCI14HundredUpCross' real
@ATTRIBUTE 'CCI14ZeroDownCross' real
@ATTRIBUTE 'CCI14HundredDownCross' real
@ATTRIBUTE 'CCI30ZeroUpCross' real
@ATTRIBUTE 'CCI30HundredUpCross' real
@ATTRIBUTE 'CCI30ZeroDownCross' real
@ATTRIBUTE 'CCI30HundredDownCross' real
@ATTRIBUTE 'stochastic.fastK80DownCross' real
@ATTRIBUTE 'stochastic.fastK20UpCross' real
@ATTRIBUTE 'High' real
@ATTRIBUTE 'Low' real
@ATTRIBUTE 'Close' real
@ATTRIBUTE 'Volume' real
@ATTRIBUTE 'EMA10' real
@ATTRIBUTE 'EMA20' real
@ATTRIBUTE 'SMA10' real
@ATTRIBUTE 'SMA20' real
@ATTRIBUTE 'SMA34' real
@ATTRIBUTE 'SMA50' real
@ATTRIBUTE 'MACD26.macd' real
@ATTRIBUTE 'MACD26.signal' real
@ATTRIBUTE 'aroon.aroonUp' real
@ATTRIBUTE 'aroon.aroonDn' real
@ATTRIBUTE 'aroon.oscillator' real
@ATTRIBUTE 'CCI10' real
@ATTRIBUTE 'CCI14' real
@ATTRIBUTE 'CCI30' real
@ATTRIBUTE 'RSI14' real
@ATTRIBUTE 'BollingerBands.dn' real
@ATTRIBUTE 'BollingerBands.mavg' real
@ATTRIBUTE 'BollingerBands.up' real
@ATTRIBUTE 'BollingerBands.pctB' real
@ATTRIBUTE 'ROCVolume14' real
@ATTRIBUTE 'ROCPrice14' real
@ATTRIBUTE 'CMO14' real
@ATTRIBUTE 'DonchianChannel14.high' real
@ATTRIBUTE 'DonchianChannel14.mid' real
@ATTRIBUTE 'DonchianChannel14.low' real
@ATTRIBUTE 'DPO14' real
@ATTRIBUTE 'DVI14.dvi.mag' real
@ATTRIBUTE 'DVI14.dvi.str' real
@ATTRIBUTE 'DVI14.dvi' real
@ATTRIBUTE 'volatility14' real
@ATTRIBUTE 'KST14.kst' real
@ATTRIBUTE 'KST14.signal' real
@ATTRIBUTE 'MFI14' real
@ATTRIBUTE 'OBV' real
@ATTRIBUTE 'PBands14.dn' real
@ATTRIBUTE 'PBands14.center' real
@ATTRIBUTE 'PBands14.up' real
@ATTRIBUTE 'TDI14.tdi' real
@ATTRIBUTE 'TDI14.di' real
@ATTRIBUTE 'TRIX14.3.TRIX' real
@ATTRIBUTE 'TRIX14.3.signal' real
@ATTRIBUTE 'VHF14' real
@ATTRIBUTE 'WPR14' real
@ATTRIBUTE 'ZigZag' real
@ATTRIBUTE 'stochastic.fastK' real
@ATTRIBUTE 'stochastic.fastD' real
@ATTRIBUTE 'stochastic.slowD' real
@ATTRIBUTE 'prevMACD26.macd' real
@ATTRIBUTE 'prevMACD26.signal' real
@ATTRIBUTE 'aroon.aroonUpDis' real
@ATTRIBUTE 'aroon.aroonDnDis' real
@ATTRIBUTE 'prevAroon.aroonUp' real
@ATTRIBUTE 'prevAroon.aroonDn' real
@ATTRIBUTE 'CCI10Dis' real
@ATTRIBUTE 'CCI14Dis' real
@ATTRIBUTE 'CCI30Dis' real
@ATTRIBUTE 'prevCCI10' real
@ATTRIBUTE 'prevCCI14' real
@ATTRIBUTE 'prevCCI30' real
@ATTRIBUTE 'RSI14Dis' real
@ATTRIBUTE 'prevStochastic.fastK' real
@ATTRIBUTE 'stochastic.fastKDis' real
@ATTRIBUTE 'Open' real

@DATA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036,1.0351,1.0356,270.0,1.0345889,1.0341563,1.03447,1.03397,1.0335647,1.033408,0.04610776,0.0311422,100.0,0.0,100.0,177.673,209.1954,210.0213,81.395177,1.033264,1.0343,1.035336,1.127124,5.598421959,0.002175122,78.94737,1.0356,1.03465,1.0337,3.535714E-4,0.85714286,0.07142857,0.7,0.0032199704,0.08463202,0.06764977,97.6412696,-1787922.0,1.0339036,1.0342429,1.0345821,0.01135,0.01605,0.004791077,0.002603046,0.70175439,0.0,1.0603661,1.0,0.9519152,0.9523068,0.0387548,0.02740081,2.0,0.0,100.0,7.142857,4.0,5.0,5.0,171.0526,193.8462,180.7692,3.0,1.0,2.0,1.0351
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0341,1.0338,1.0339,156.0,1.0347048,1.0347561,1.03503,1.035055,1.0344735,1.034004,0.009016785,0.03384667,50.0,100.0,-50.0,-107.0076,-144.6347,-68.44337,38.938609,1.033823,1.035193,1.036563,0.0281592,-0.548565952,-0.001546268,-72.72727,1.0359,1.0349,1.0339,-5.357143E-4,0.07142857,0.07142857,0.07142857,0.005489898,0.04865713,0.09871473,15.3112294,-1788492.0,1.0337323,1.03525,1.0367677,-0.00195,0.0141,0.005796987,0.00663759,0.81818182,1.0,1.0604475,0.0,0.4472401,0.755787,0.01819491,0.04005414,1.0,2.0,57.142857,100.0,1.0,1.0,2.0,-138.4977,-188.3041,-56.21302,1.0,0.0,0.0,1.0341
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0349,1.0347,1.0349,9.0,1.0347508,1.0346748,1.03477,1.034615,1.0346324,1.03469,0.008456046,0.005703752,78.571429,7.142857,71.428571,74.71264,91.44144,102.0236,55.374162,1.034327,1.034693,1.035059,0.7828494,-2.0654553,4.349612E-4,24.32432,1.035,1.03465,1.0343,3.357143E-4,0.64285714,0.07142857,0.52857143,0.0029577788,0.02623744,0.01810968,42.1989579,-1788519.0,1.0344684,1.0346714,1.0348745,-0.0107,0.00535,3.655775E-4,-0.005248403,0.32432432,0.14285714,1.0605928,0.6666667,0.7870782,0.8474107,0.007462753,0.005015679,2.0,0.0,85.714286,14.285714,3.0,3.0,4.0,30.30303,60.60606,62.92646,2.0,0.7142857,1.0,1.0347
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0341,1.0339,1.0339,26.0,1.0342693,1.0344162,1.03438,1.034545,1.0344235,1.034704,-0.01275995,-0.002964544,28.571429,85.714286,-57.142857,-88.88889,-117.0191,-151.0417,41.598227,1.033706,1.034493,1.03528,0.1234734,2.564949357,-7.733952E-4,-36.36364,1.035,1.03435,1.0337,-3.25E-4,0.07142857,0.07142857,0.07142857,0.005714204,-0.01070512,0.01411496,25.9299145,-1788836.0,1.0339272,1.0344857,1.0350442,-0.011,-0.02215,-6.066449E-4,-0.005248403,0.5,0.84615385,1.0606335,0.1282051,0.2866368,0.5340188,-0.009693016,-5.15691E-4,0.0,2.0,35.714286,92.857143,2.0,1.0,1.0,-92.80303,-128.169,-127.7533,1.0,0.2058824,0.0,1.034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0345,1.034,1.0343,48.0,1.0342794,1.0343951,1.0343,1.034525,1.0344441,1.03469,-0.01114839,-0.006036201,14.285714,71.428571,-57.142857,0.0,-28.57143,-45.3379,47.957273,1.033658,1.03445,1.035242,0.4052939,1.232143681,-2.900232E-4,-15.0,1.035,1.03435,1.0337,-1.285714E-4,0.28571429,0.07142857,0.24285714,0.0058545403,-0.01899091,0.00433269,34.528025,-1788773.0,1.0338777,1.0344429,1.035008,-0.00745,-0.00135,-0.001111852,-2.273442E-4,0.55,0.53846154,1.0606451,0.3589744,0.2052796,0.3824303,-0.01193259,-0.004758153,0.0,2.0,21.428571,78.571429,2.0,2.0,2.0,-9.803922,-32.94118,-46.875,1.0,0.2820513,1.0,1.0345
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0344,1.0342,1.0344,20.0,1.0343042,1.0343792,1.0342,1.034465,1.0344618,1.034622,-0.008422031,-0.007589626,14.285714,50.0,-35.714286,66.66667,14.47028,-25.83026,49.827167,1.033672,1.034343,1.035014,0.5426014,0.051293294,-4.349822E-4,-27.27273,1.0349,1.0343,1.0337,-1.821429E-4,0.85714286,0.07142857,0.7,0.0056710343,-0.03728728,-0.01392684,35.5017245,-1788761.0,1.0338782,1.0343214,1.0347646,-0.00195,-0.0042,-0.001446487,-6.268329E-4,0.57575758,0.41666667,1.0606626,0.5135135,0.3499272,0.2823987,-0.009883221,-0.007381525,0.0,1.0,0.0,57.142857,3.0,3.0,2.0,3.436426,-37.46959,-81.18081,1.0,0.4736842,1.0,1.0342
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0363,1.034,1.0357,751.0,1.0337781,1.0338582,1.03337,1.03391,1.0341147,1.034294,-0.0159319,-0.02836826,100.0,71.428571,28.571429,236.0689,179.8742,167.8571,66.56149,1.031899,1.033657,1.035415,1.08109,1.679763229,5.797942E-4,14.63415,1.0357,1.03415,1.0326,9.321429E-4,0.78571429,0.07142857,0.64285714,0.0106297396,-0.09016721,-0.06060374,67.1693344,-1788222.0,1.0326416,1.033625,1.0346084,0.00815,-0.01335,-0.004666085,-0.002500917,0.57317073,0.0,1.0608138,0.6478873,0.1681461,0.06072701,-0.03620537,-0.03147734,2.0,2.0,14.285714,78.571429,5.0,4.0,4.0,126.9841,43.7276,-9.774436,2.0,0.3166667,1.0,1.034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.035,1.0342,1.035,51.0,1.0344778,1.0342767,1.03442,1.034,1.0342382,1.034308,0.01530528,-8.492158E-4,57.142857,28.571429,28.571429,52.53623,71.33758,80.0,57.069128,1.031868,1.033971,1.036075,0.7444741,-0.61146915,0.0010154,20.38835,1.0357,1.03415,1.0326,-7.642857E-4,0.71428571,0.07142857,0.58571429,0.0109037779,-0.003823129,-0.05908739,63.129318,-1788591.0,1.0318512,1.0338714,1.0358917,-0.0408,-0.0072,-6.477137E-4,-0.002188877,0.54368932,0.22580645,1.0608486,0.6666667,0.7266455,0.4838352,0.01071562,-0.004887841,1.0,0.0,64.285714,35.714286,3.0,3.0,3.0,39.21569,60.60606,50.50167,2.0,0.6451613,1.0,1.0347
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0391,1.0389,1.039,27.0,1.0386576,1.0379914,1.03869,1.03807,1.0369618,1.035912,0.0866963,0.08647815,78.571429,0.0,78.571429,52.99145,77.77778,100.2609,71.786318,1.037305,1.038421,1.039538,0.7590836,-1.358123484,0.001878568,54.92958,1.0392,1.03835,1.0375,-0.001153571,0.64285714,0.07142857,0.52857143,0.0033444127,0.1445713,0.1589346,92.7207449,-1787794.0,1.0380728,1.0384071,1.0387415,-0.00365,0.03045,0.01358923,0.01183855,0.43661972,0.11764706,1.0610056,0.8909091,0.9603735,0.9713233,0.08899597,0.08642362,2.0,0.0,85.714286,7.142857,3.0,3.0,4.0,66.66667,93.33333,104.6931,3.0,0.9298246,2.0,1.0389
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0424,1.0417,1.0422,155.0,1.0409261,1.0398492,1.04077,1.03962,1.0384265,1.037014,0.1304118,0.1141087,100.0,0.0,100.0,93.28115,104.4316,161.5925,74.629455,1.03768,1.040264,1.042848,0.8745381,-0.715476657,0.003364417,64.81481,1.0422,1.0404,1.0386,-0.001217857,0.92857143,0.07142857,0.75714286,0.0112638649,0.1903496,0.158223,85.8794979,-1786057.0,1.039152,1.0401536,1.0411552,0.00335,0.03585,0.0170367,0.0142845,0.67592593,0.0,1.0610521,0.8695652,0.9339469,0.9466151,0.1260284,0.1100329,2.0,0.0,85.714286,0.0,3.0,4.0,4.0,74.40476,95.40034,154.4609,3.0,0.875,2.0,1.0417
